pincode,locality,district,state,lat,lng,office_count
110001,New Delhi,New Delhi,Delhi,28.619861,77.212917,23
110002,Indraprastha,Central,Delhi,28.633917,77.241917,10
110003,Lodi Road,South,Delhi,28.589264,77.229528,10
110004,Rashtrapati Bhawan,New Delhi,Delhi,28.621083,77.196139,1
110005,Anand Parbat,Central,Delhi,28.651792,77.186972,8
110006,Delhi,Central,Delhi,28.653431,77.224839,8
110007,Delhi University,North,Delhi,28.676611,77.206111,11
110008,Dada Ghosh Bhawan,West,Delhi,28.645361,77.169750,5
110009,DrMukerjee Nagar,North,Delhi,28.702361,77.202111,8
110010,Aps Colony,New Delhi,Delhi,28.584500,77.136389,13
110011,Nirman Bhawan,New Delhi,Delhi,28.610986,77.213806,2
110012,IARI,West,Delhi,28.636861,77.165972,3
110013,Dargah Sharif,South East,Delhi,28.589486,77.246458,2
110014,Jeevan Nagar,South,Delhi,28.581472,77.256014,4
110015,Ramesh Nagar,West,Delhi,28.659194,77.135639,7
110016,Green Park Market,South,Delhi,28.545903,77.199083,6
110017,Distt Court Complex Saket,South,Delhi,28.531740,77.214601,8
110018,Chaukhandi,West,Delhi,28.643014,77.097694,12
110019,Kalkaji,South East,Delhi,28.541736,77.255917,4
110020,Tehkhand,South,Delhi,28.547697,77.266750,5
110021,Anand Niketan,New Delhi,Delhi,28.588681,77.168806,6
110022,R K Puram Sect1,New Delhi,Delhi,28.562972,77.172528,8
110023,Sarojini Nagar,New Delhi,Delhi,28.573889,77.207208,5
110024,Amar Colony,South East,Delhi,28.568611,77.236154,4
110025,Abul Fazal EnclaveI,South East,Delhi,28.561361,77.278778,5
110026,Ashoka Park Extn.,West,Delhi,28.669625,77.137711,4
110027,Janta Market,West,Delhi,28.642708,77.117847,6
110028,Naraina Industrial Estate,New Delhi,Delhi,28.631321,77.136884,2
110029,Ansari Nagar,South,Delhi,28.568556,77.195694,3
110030,Gadaipur,South,Delhi,28.517611,77.179361,7
110031,Gandhi Nagar,Shahdara,Delhi,28.662833,77.274167,7
110032,Babarpur,Shahdara,Delhi,28.673917,77.294639,13
110033,Bhalaswa,North,Delhi,28.727444,77.174153,6
110034,Anandvas Shakurpur,North West,Delhi,28.697278,77.136667,7
110035,Rampura,North West,Delhi,28.675417,77.157861,7
110036,Bakhtawar Pur,North,Delhi,28.797805,77.130000,9
110037,Mahipalpur,New Delhi,Delhi,28.540000,77.115528,5
110038,Rajokari,New Delhi,Delhi,28.519694,77.119903,2
110039,Auchandi,North,Delhi,28.799694,77.038055,11
110040,Bankner,North West,Delhi,28.850805,77.088055,8
110041,Bakkarwala,West,Delhi,28.676360,77.037810,12
110042,Mukundpur Village,North,Delhi,28.744111,77.145000,7
110043,Baprola,South West,Delhi,28.602626,76.981441,18
110044,Jaitpur,South,Delhi,28.520000,77.237514,10
110045,Dabri,South West,Delhi,28.596462,77.090556,5
110046,Nangal Raya,New Delhi,Delhi,28.611056,77.105861,2
110047,Aya Nagar,South,Delhi,28.469889,77.128972,4
110048,Greater Kailash,South East,Delhi,28.540472,77.238139,3
110049,Sahpurjat,South,Delhi,28.559785,77.215580,6
110051,Krishna Nagar,Shahdara,Delhi,28.652486,77.293458,4
110052,Ashok Vihar,North,Delhi,28.679750,77.181111,5
110053,Garhi Mandu,North East,Delhi,28.687194,77.270556,9
110054,Aruna Nagar,Central,Delhi,28.697557,77.222861,5
110055,AKMarket,Central,Delhi,28.644889,77.202528,5
110056,Shakur Basti Depot,North West,Delhi,28.682722,77.111111,1
110057,Vasant Vihar1,New Delhi,Delhi,28.562944,77.157583,2
110058,D.E.S.U. Colony,West,Delhi,28.624111,77.096574,5
110059,Hastal Village,West,Delhi,28.621500,77.054325,7
110060,Rajender Nagar,Central,Delhi,28.636722,77.183111,1
110061,Shahbad Mohammadpur,New Delhi,Delhi,28.536556,77.284694,2
110062,Dakshinpuri PhaseI,South,Delhi,28.520111,77.239750,6
110063,Jawala Heri,West,Delhi,28.668712,77.108806,5
110064,Hari Nagar,West,Delhi,28.624860,77.110868,5
110065,East Of Kailash,South East,Delhi,28.559361,77.253601,5
110066,R K Puram Main,New Delhi,Delhi,28.562556,77.178139,2
110067,JNU,New Delhi,Delhi,28.550750,77.176222,3
110068,Maidan Garhi,South,Delhi,28.501222,77.200306,2
110069,Union Public Service Commission,New Delhi,Delhi,28.622583,77.212722,1
110070,Masood Pur,New Delhi,Delhi,28.520000,77.157889,3
110071,Badusarai,South West,Delhi,28.560496,77.063413,4
110072,Jharoda Kalan,South West,Delhi,28.644252,77.458519,2
110073,Galib Pur,South West,Delhi,28.531999,76.936906,11
110074,BHATI VILLAGE,South,Delhi,28.507306,77.184556,10
110075,Amberhai,South West,Delhi,28.580691,77.049610,3
110076,Ali,South,Delhi,28.530000,77.300000,3
110077,Bagdola,South West,Delhi,28.571529,77.072276,5
110078,Kakrola,South West,Delhi,28.610222,77.037667,3
110080,Deoli,South,Delhi,28.503778,77.242417,6
110081,Chand Pur,North West,Delhi,28.734917,77.005555,12
110082,Holambi Kalan,North,Delhi,28.772167,77.119000,4
110083,Mangolpuri A Block,North West,Delhi,28.693764,77.088917,4
110084,Jagatpur,North,Delhi,28.757222,77.197778,7
110085,Rithala,North West,Delhi,28.711856,77.124739,8
110086,Begumpur,North West,Delhi,28.701611,77.079722,9
110087,Peeragarhi,West,Delhi,28.679745,77.088167,3
110088,Shalamar,North,Delhi,28.693361,77.171389,3
110089,Rohini Sector 15,North West,Delhi,28.734806,77.132500,2
110090,Badarpur Khadar,North East,Delhi,28.692250,77.304222,7
110091,Chilla,East,Delhi,28.614361,77.304222,7
110092,Anand Vihar,East,Delhi,28.652222,77.304222,9
110093,Mandoli Saboli,North East,Delhi,28.693681,77.304616,6
110094,Dayalpur,North East,Delhi,28.692250,77.304222,3
110095,Jhilmil,Shahdara,Delhi,28.680014,77.316492,8
110096,Ghazipur,East,Delhi,28.617770,77.329610,3
110097,Kapashera,South West,Delhi,28.524946,77.071004,1
110099,ROHINI SECTOR 23,North West,Delhi,28.720596,77.080909,1
110110,"Nodal Delivery Centre , Rohini",North West,Delhi,28.715800,77.110000,1
121001,Faridabad NIT,Faridabad,Haryana,28.370500,77.301014,8
121002,Bhaskola,Faridabad,Haryana,28.406686,77.324011,6
121003,Anangpur,Faridabad,Haryana,28.421569,77.320911,5
121004,Amarpur,Palwal,Haryana,28.313574,77.322917,23
121005,Faridabad Sector 22,Faridabad,Haryana,28.380694,77.294389,2
121006,Faridabad Sector 7,Faridabad,Haryana,28.369151,77.323796,4
121007,Escortsnagar Faridabad,Faridabad,Haryana,28.383278,77.325889,3
121008,Faridabad Sector 29,Faridabad,Haryana,28.391778,77.302139,1
121009,Surajkund Faridabad,Faridabad,Haryana,28.488111,77.294583,1
121010,Nhpc Colony Faridabad,Faridabad,Haryana,28.510619,77.639964,2
121012,Sector21D,Faridabad,Haryana,28.391778,77.302139,1
121013,Sec91,Faridabad,Haryana,28.391778,77.302139,1
121014,Greater Faridabad PO,Faridabad,Haryana,28.472600,77.484800,1
121015,Sector55 PO,Faridabad,Haryana,28.345300,77.296500,1
121101,Alipur,Faridabad,Haryana,28.370310,77.435774,9
121102,Aharwan,Palwal,Haryana,28.141667,77.277121,25
121103,Chhainsa,Palwal,Haryana,28.064485,77.188775,12
121105,Bahin,Palwal,Haryana,28.035948,77.332026,10
121106,Ali Meo,Palwal,Haryana,27.939486,77.318084,10
121107,Banswa,Palwal,Haryana,27.969028,77.452270,7
122001,Gurgaon,Gurugram,Haryana,28.461083,77.021778,11
122002,DLF QE,Gurugram,Haryana,28.466093,77.105835,1
122003,Gwal Pahari,Gurugram,Haryana,28.446501,77.073616,5
122004,Khandsa,Gurugram,Haryana,28.413887,76.993195,6
122005,Air Force,Gurugram,Haryana,28.505611,77.071056,1
122006,Basai,Gurugram,Haryana,28.485561,77.009056,4
122007,Industrial Estate,Gurugram,Haryana,28.462000,77.031639,1
122008,DLF PhII,Gurugram,Haryana,28.462000,77.031639,1
122009,Galleria DLFIV,Gurugram,Haryana,28.340889,76.756194,1
122010,DLF PhIII,Gurugram,Haryana,28.466093,77.105835,1
122011,Gurgaon Sector 56,Gurugram,Haryana,28.462000,77.031639,1
122012,Vatika India Sec 82,Gurugram,Haryana,28.413887,76.993195,1
122015,Palam Road,Gurugram,Haryana,28.497361,77.063056,1
122016,Industrial Complex Dundahera,Gurugram,Haryana,28.496583,77.085278,1
122017,Carterpuri,Gurugram,Haryana,28.484617,77.031593,2
122018,D Block South City II Gurgaon,Gurugram,Haryana,28.462000,77.031639,2
122051,Kasan,Gurugram,Haryana,28.343123,76.940183,2
122052,IMT Manesar,Gurugram,Haryana,28.342000,76.936472,1
122098,CRPF Kadarpur,Gurugram,Haryana,28.391382,77.051193,1
122101,Fazilpur,Gurugram,Haryana,28.391382,77.051193,5
122102,Damdama,Gurugram,Haryana,28.352169,77.064710,7
122103,Bhirauti,Gurugram,Haryana,28.248459,77.065802,12
122104,Agon,Nuh,Haryana,27.787343,76.946463,6
122105,Baghanki,Nuh,Haryana,28.213130,76.954679,12
122107,Akhera,Nuh,Haryana,28.095943,77.001664,10
122108,Bhadas,Nuh,Haryana,27.920400,76.984468,7
122413,Bilaspur Khurd,Gurugram,Haryana,29.387631,77.446429,7
122414,Inchhapuri,Gurugram,Haryana,28.271733,76.740867,6
122502,Cheelarh,Rewari,Haryana,28.292981,76.697254,12
122503,Baslambi,Gurugram,Haryana,28.325728,76.777811,7
122504,Gudhana,Gurugram,Haryana,28.467015,77.081198,8
122505,Bhangrola,Gurugram,Haryana,28.421592,76.914258,6
122506,Khera Khurampur,Gurugram,Haryana,28.446796,76.825692,6
122508,Baded,Nuh,Haryana,27.824681,77.177104,17
123001,Narnaul,Mahendragarh,Haryana,28.044064,76.118082,28
123021,Bachhod,Mahendragarh,Haryana,28.100932,76.253154,16
123023,Akbarpur,Mahendragarh,Haryana,27.892541,76.110493,13
123024,Barda,Mahendragarh,Haryana,28.378752,75.964660,11
123027,Baghot,Mahendragarh,Haryana,28.336368,76.306545,17
123028,Bairawas,Mahendragarh,Haryana,28.191762,76.130587,6
123029,Akoda,Mahendragarh,Haryana,28.258140,76.139164,19
123031,Central University Haryana Mohindergarh,Mahendragarh,Haryana,28.271019,76.149389,1
123034,Bhojawas,Mahendragarh,Haryana,28.258604,76.227683,8
123035,Asiaki Gorawas,Rewari,Haryana,28.356184,76.623774,5
123101,Basbatori,Rewari,Haryana,28.201261,76.485949,7
123102,Ahrod,Rewari,Haryana,28.145891,76.394749,8
123103,Balwari,Rewari,Haryana,28.196945,76.397606,6
123106,Akera,Rewari,Haryana,28.231413,76.801381,9
123110,Industrial Area Dharuhera,Rewari,Haryana,28.233556,77.803278,1
123301,Jakhala,Rewari,Haryana,28.359814,76.535260,3
123302,Bhakli,Rewari,Haryana,28.399192,76.483651,14
123303,Bawwa,Rewari,Haryana,28.409434,76.397007,11
123401,B B Ashram,Rewari,Haryana,28.202722,76.616953,29
123411,Baldhan Kalan,Rewari,Haryana,28.295395,76.383798,14
123412,Badhrana,Rewari,Haryana,28.097334,76.515583,4
123501,Asalwas,Rewari,Haryana,28.069873,76.579918,12
124001,Rohtak,Rohtak,Haryana,28.882861,76.588694,14
124010,Baland,Rohtak,Haryana,28.733255,76.743868,8
124021,Bhambhewa,Rohtak,Haryana,28.452977,76.378498,9
124022,Bahu Akbarpur,Rohtak,Haryana,28.671593,76.748085,3
124102,Birdhana,Jhajjar,Haryana,28.759966,76.931763,6
124103,Dadanpur,Jhajjar,Haryana,28.641146,76.639252,22
124104,Bajidpur Tappa Haveli,Jhajjar,Haryana,28.708542,76.717834,10
124105,Badsa,Jhajjar,Haryana,28.597164,76.823959,11
124106,Achhej,Jhajjar,Haryana,28.735904,76.510506,11
124107,Barhana,Jhajjar,Haryana,28.671593,76.823959,5
124108,Ahri,Jhajjar,Haryana,28.735904,76.510506,8
124109,Bhindawas,Jhajjar,Haryana,28.506844,76.570072,12
124111,Ajaib,Rohtak,Haryana,28.735904,76.510506,5
124112,Behlba,Rohtak,Haryana,28.576344,76.510506,9
124113,Katesra,Rohtak,Haryana,28.605585,76.620026,5
124141,Power Plant Jharli,Jhajjar,Haryana,28.895583,76.592528,1
124142,Goria,Jhajjar,Haryana,28.502149,76.345367,5
124146,Akheri Madanpur,Jhajjar,Haryana,28.671593,76.748085,8
124201,Baghpur,Jhajjar,Haryana,28.725367,76.562691,7
124202,Majra,Rohtak,Haryana,28.706292,76.520540,4
124303,Basantpur,Rohtak,Haryana,28.681179,76.510506,9
124401,Baliana,Rohtak,Haryana,28.725367,76.580973,10
124404,Nilothi,Jhajjar,Haryana,28.634988,76.823959,3
124406,Assan,Rohtak,Haryana,28.735904,76.620026,5
124411,Banyani,Rohtak,Haryana,28.452977,76.378498,5
124412,Chimni,Rohtak,Haryana,28.623365,76.620026,6
124501,Atail,Jhajjar,Haryana,28.634988,76.748085,17
124504,Chudani,Jhajjar,Haryana,28.671593,76.753407,3
124505,Bamnoli,Jhajjar,Haryana,28.758590,76.866875,8
124506,Tandaheri,Jhajjar,Haryana,28.708542,76.902704,2
124507,Bahadurgarh,Jhajjar,Haryana,28.681179,76.902704,5
124508,Daboda Kalan,Jhajjar,Haryana,28.667950,76.876400,12
124513,Nindana,Rohtak,Haryana,29.010028,76.378172,1
124514,Bainsi,Rohtak,Haryana,28.735904,76.510506,14
125001,Hisar,Hisar,Haryana,29.160778,75.724986,10
125004,Arya Nagar,Hisar,Haryana,29.508192,75.453516,17
125005,Badya Brahamana,Hisar,Haryana,29.132306,75.742611,20
125006,Dahima,Hisar,Haryana,29.112347,75.818378,4
125007,Chakpanihar,Hisar,Haryana,29.149429,75.565768,8
125011,CSF Hisar,Hisar,Haryana,29.204628,75.688806,4
125033,Bhatla,Hisar,Haryana,29.097722,75.968806,29
125037,Kanwari,Hisar,Haryana,28.944861,75.826124,3
125038,Bhaklana,Hisar,Haryana,29.189890,76.224583,6
125039,Bhaini Amirpur,Hisar,Haryana,29.224611,76.138750,18
125042,Badala,Hisar,Haryana,29.108694,75.199972,10
125044,Bhagana,Hisar,Haryana,29.128833,75.784472,6
125047,Bhoda,Hisar,Haryana,29.352225,75.670265,13
125048,Chinder,Fatehabad,Haryana,29.356295,74.079947,5
125049,Datta,Hisar,Haryana,29.159444,75.571278,6
125050,Ahlisadar,Fatehabad,Haryana,29.508192,75.453516,25
125051,Aharwan,Fatehabad,Haryana,29.685305,75.576278,35
125052,Asrawan,Hisar,Haryana,28.181778,75.472639,23
125053,Ban Mandori,Fatehabad,Haryana,29.378824,75.031852,14
125054,Baruwalii,Sirsa,Haryana,29.546139,75.214833,4
125055,Sirsa,Sirsa,Haryana,29.534778,75.032083,30
125056,JCD Vidyapeeth Sirsa,Sirsa,Haryana,29.534778,75.032083,1
125058,Mochiwali,Sirsa,Haryana,29.450306,75.119333,2
125060,Baidwala,Sirsa,Haryana,29.545722,75.114111,11
125075,Bahiya,Sirsa,Haryana,29.527528,74.739472,14
125076,Dohtar,Sirsa,Haryana,29.523583,74.840639,6
125077,Burj Bhangu,Sirsa,Haryana,29.765417,74.899278,9
125078,Alika,Sirsa,Haryana,29.699361,75.006639,12
125101,Asa Khera,Sirsa,Haryana,29.780222,74.524305,3
125102,Amritsar Kalan,Sirsa,Haryana,29.449083,74.662861,10
125103,Banwala,Sirsa,Haryana,29.783250,74.747722,12
125104,Abubshahar,Sirsa,Haryana,29.959139,74.698111,16
